# ~alp d~p/dz   Phi_p_sgs,z
  -0.4013556E+001   0.9399944E+000
  -0.2580028E+001   0.1730387E+000
  -0.1983692E+001   0.7507050E-001
  -0.1662657E+001   0.3040349E-001
  -0.1349650E+001   0.5632359E-002
  -0.1159069E+001   0.7458112E-003
  -0.2013667E+001  -0.6935846E-001
  -0.2166885E+002  -0.5393061E+001
  -0.3271752E+002   0.2339434E+001
  -0.1487314E+002   0.1053758E+001
  -0.2955270E+001   0.3538071E-001
  -0.3460361E+001   0.7618827E-001
  -0.3835540E+001   0.1028077E+000
  -0.3332080E+001   0.5565308E-001
  -0.2401815E+001   0.8451392E-002
  -0.1866644E+001   0.2457130E-001
  -0.1827025E+001   0.6512529E-002
  -0.2302002E+001  -0.1421140E-001
  -0.3102711E+001   0.9734164E-001
  -0.3491235E+001   0.6755993E+000
  -0.1828802E+001   0.1984672E+001
   0.2846619E+001   0.2386328E+001
   0.1003168E+002   0.8765488E+000
   0.7834886E+001   0.9417713E+000
   0.3196431E+001   0.1123947E+001
   0.9075201E+000   0.7563985E+000
   0.6997866E+000   0.4478583E+000
   0.9623330E+000   0.5123650E-001
   0.1123166E+000  -0.2383912E-001
  -0.1260965E+001  -0.2739305E-001
  -0.2123646E+001   0.1042832E+000
  -0.2271602E+001   0.7006850E+000
  -0.2333344E+001   0.1070317E+002
   0.7393955E+001   0.3957923E+002
   0.2634123E+002   0.3770561E+002
   0.3517263E+002   0.3527107E+002
   0.5591528E+002   0.4647442E+002
   0.6068384E+002   0.5229558E+002
   0.2300355E+002   0.3600507E+002
  -0.1038325E+001   0.6690577E+001
  -0.3203160E+001   0.2947014E+001
  -0.2363716E+001   0.1568004E+001
  -0.1756204E+001   0.3168785E+000
  -0.1465257E+001   0.8010221E-001
  -0.1173569E+001   0.3673052E-001
  -0.9540332E+000   0.3765758E-001
  -0.1614937E+001   0.2607484E+000
  -0.1459821E+002  -0.4352531E+001
  -0.2607387E+002   0.4192706E+001
  -0.1107637E+002   0.6799484E+000
  -0.5387735E+001   0.3807542E+000
  -0.6962434E+001   0.7199773E+000
  -0.8445107E+001   0.7462408E+000
  -0.8786509E+001   0.4147357E+000
  -0.7483506E+001  -0.5120771E-002
  -0.5494601E+001  -0.5337722E-001
  -0.3851170E+001   0.1314947E+000
  -0.3055297E+001   0.2415708E-001
  -0.3708521E+001   0.7732295E-001
  -0.4953395E+001   0.5810529E+000
  -0.4556752E+001   0.2457300E+001
   0.1219874E+001   0.2223567E+001
   0.8176941E+001   0.2060990E+001
   0.7010478E+001   0.3069119E+001
   0.2908813E+001   0.2781638E+001
   0.3751892E+000   0.1798159E+001
  -0.5755738E+000   0.1076146E+001
  -0.8519092E+000   0.5058538E+000
  -0.1284510E+001   0.1286431E+000
  -0.2004309E+001   0.7837076E-001
  -0.2155796E+001   0.1456213E+000
  -0.1449863E+001   0.4386195E+001
   0.1736270E+001   0.2183534E+002
   0.1088774E+002   0.4762677E+002
   0.1577420E+002   0.4634483E+002
   0.1351463E+002   0.3554673E+002
   0.2766285E+002   0.4220764E+002
   0.4869036E+002   0.4297687E+002
   0.2848809E+002   0.2939984E+002
   0.6106191E+001   0.1055076E+002
   0.2413882E+001   0.1984383E+002
  -0.2079019E+001   0.2308191E+002
  -0.2547806E+001   0.9336420E+001
  -0.1537455E+001   0.6073744E+000
  -0.1099875E+001   0.7473724E-001
  -0.8601589E+000   0.8115088E-001
  -0.1128398E+001   0.2113049E+000
  -0.7555727E+001  -0.2733850E+001
  -0.1768580E+002   0.4180674E+001
  -0.1023505E+002   0.1110734E+001
  -0.8135821E+001   0.6700032E+000
  -0.9473953E+001   0.5412861E+000
  -0.1083382E+002   0.2696800E+000
  -0.1231247E+002   0.1409595E+000
  -0.1283651E+002  -0.2090222E-001
  -0.1155237E+002  -0.2426464E+000
  -0.9090286E+001   0.2455993E+000
  -0.6139129E+001   0.1898364E+000
  -0.5306266E+001   0.2044833E+000
  -0.5487068E+001   0.4097391E+000
  -0.4618022E+001   0.1216337E+001
   0.5298651E+001   0.2795251E+001
   0.1027892E+002   0.2648567E+001
   0.8744465E+001   0.4115496E+001
   0.4167466E+001   0.5002594E+001
   0.4898470E+000   0.4281842E+001
  -0.1365406E+001   0.2675756E+001
  -0.1989657E+001   0.1088829E+001
  -0.2224684E+001   0.4247235E+000
  -0.2861457E+001   0.4426441E+000
  -0.3339306E+001   0.4501322E+000
  -0.2710501E+001   0.4730337E+001
   0.1595093E+001   0.2078575E+002
   0.7500764E+001   0.3325130E+002
   0.4645380E+001   0.2760715E+002
   0.1856294E+000   0.1399796E+002
   0.1818077E+001   0.2234939E+002
