#dalpdx  dalpdy   dalpdz
  -0.2986526E+000   0.2627820E-001   0.1767690E-001
   0.1289874E+000   0.7553730E+000   0.5938414E-001
   0.1432178E+000   0.2968268E+000   0.2610626E+000
   0.4171216E+000  -0.2998783E+000   0.4548250E+000
  -0.4022154E-001  -0.6069488E+000   0.5376394E+000
  -0.4035305E+000  -0.6206689E+000   0.3437221E+000
  -0.8658828E-002  -0.1363805E+000  -0.9014658E-001
  -0.1544458E+000  -0.5278836E-001  -0.3340269E+000
   0.4492015E-001  -0.3094906E+000  -0.4907317E+000
   0.5932374E+000  -0.1255608E+001  -0.6903125E+000
   0.3273286E+000  -0.2150360E+001  -0.7500865E+000
   0.6817406E+000  -0.2789351E+001  -0.5965691E+000
   0.3554191E+001  -0.2305695E+001  -0.4168508E+000
   0.5853086E+001  -0.5173804E+000  -0.3156728E+000
   0.7644812E+001   0.1666277E+001   0.2386631E-001
   0.3023679E+001   0.1722616E+001   0.2082725E+000
   0.1505415E+001   0.3220312E+000  -0.1164333E+001
   0.1501954E+000  -0.2413510E+001  -0.2527456E+001
  -0.4649802E+001  -0.6443496E+001  -0.3540391E+001
  -0.9365306E+000  -0.7640050E+001  -0.3753037E+001
   0.2587668E+001  -0.6621363E+001  -0.3100872E+001
  -0.2475649E+001  -0.5597682E+001   0.7210117E+000
  -0.1202948E+001  -0.2964557E+001   0.2877171E+001
  -0.1195003E+001   0.1244210E+000   0.3426009E+001
  -0.5397179E+001   0.1335358E+001   0.3710270E+001
  -0.3515175E+001   0.1995732E+001   0.1746409E+001
  -0.1252703E+001   0.1900890E+001   0.3000960E+000
  -0.6916236E+000   0.1207729E+001   0.2254428E+000
   0.4638186E+000   0.3960124E-001   0.1919887E+000
  -0.4443651E-002   0.2518483E+000  -0.2205775E+000
   0.1568620E+001   0.8517477E+000  -0.2109699E+001
   0.9121389E+000   0.5594996E+000  -0.2975410E+001
  -0.1489042E+001  -0.7079646E+000  -0.3731345E+001
  -0.1341206E+001  -0.1420041E+001  -0.4150265E+001
  -0.3694898E-001  -0.2286945E+001  -0.2164737E+001
  -0.1802627E+001  -0.3013157E+001  -0.1940168E+001
  -0.5944552E+000  -0.1893807E+001  -0.1384139E+001
   0.2948978E+000  -0.1236910E+001  -0.5945828E+000
  -0.9155401E+000  -0.2973181E+000  -0.4421112E+000
  -0.1056133E+001   0.4685762E+000  -0.2758641E+000
   0.4984793E+000   0.1215942E+001  -0.2178398E+000
  -0.8037883E-001   0.1336367E+001   0.1069990E-001
