#sig_xx    sig_xy    sig_xz    sig_yy    sig_yz    sig_zz
   0.8787157E-001   0.1781667E-001  -0.5927882E-001   0.1788595E-001  -0.4207990E-001   0.1865081E+000
   0.1692476E+000   0.2487895E-002  -0.1641537E+000   0.3669886E-001  -0.1345916E-001   0.2334858E+000
   0.1128460E+000  -0.2625073E-001  -0.1091595E+000   0.2576679E-001   0.4398840E-001   0.1760371E+000
   0.2505707E-001  -0.1560374E-001  -0.2377054E-001   0.2013592E-001   0.1011881E-001   0.1058563E+000
   0.3647881E-001  -0.8308498E-002  -0.4733678E-001   0.3028114E-001   0.2280057E-001   0.1747197E+000
   0.3765135E-001   0.4911784E-002  -0.7376315E-001   0.4993494E-001   0.6172002E-001   0.5939696E+000
   0.6642979E-001  -0.6384389E-001  -0.5316751E-001   0.1207995E+000  -0.3264759E-001   0.6787427E+000
   0.8553845E-001   0.2532661E-001  -0.9232934E-002   0.1003512E+000  -0.9354023E-001   0.3661268E+000
   0.7118627E-001   0.1217650E-001   0.1660682E+000   0.1219271E+000   0.1080113E+000   0.5437969E+000
   0.6852684E-001   0.2864982E-002   0.1131415E+000   0.7554569E-001   0.1448410E+000   0.5927725E+000
   0.1009387E+000   0.1000192E+000   0.3459074E+000   0.1258601E+000   0.4016399E+000   0.1383950E+001
   0.9530471E-001   0.4668400E-001   0.1683372E+000   0.3077818E-001   0.8014546E-001   0.3503459E+000
   0.4573004E-001   0.4991234E-001   0.7560889E-001   0.1135227E+000   0.1058168E+000   0.2047109E+000
   0.4721582E-001   0.1699413E-001   0.1083012E-001   0.4600608E-001   0.3115260E-001   0.7278280E-001
   0.2240893E-001   0.3847683E-002   0.7627232E-004   0.1441886E-001   0.2632891E-001   0.9167431E-001
   0.3348693E-001   0.3152918E-002  -0.2674688E-001   0.1856096E-001   0.4746468E-001   0.1760830E+000
   0.3796545E-001  -0.1175969E-001  -0.5273278E-001   0.6451403E-002   0.1886129E-001   0.1079069E+000
   0.4444197E-001  -0.3592472E-001  -0.4191475E-001   0.5195206E-001   0.4006943E-001   0.4801873E-001
   0.2175287E-001  -0.1902931E-001  -0.1932962E-001   0.7293126E-001   0.7446084E-001   0.8001452E-001
   0.9682275E-002  -0.3355473E-002  -0.6410932E-002   0.4622430E-002   0.1359675E-001   0.7368184E-001
   0.7367694E-001  -0.6360467E-001   0.2514576E+000   0.8863204E-001  -0.2733326E+000   0.1427930E+001
   0.1905241E-001  -0.1889551E-002  -0.1148231E-001   0.3639094E-001   0.1632643E-003   0.8745228E-001
   0.1121409E+000  -0.4042859E-002   0.2089612E+000   0.1991663E-001   0.3350752E-001   0.5071524E+000
   0.6242890E-001  -0.1077268E-001   0.1659604E-001   0.1864692E-001   0.3361300E-001   0.1187015E+000
