# <alp>   <alp2>    <alp/alpg>   <alpg/alp>    <alp^2/alpg>    <alp^2/alpg^2>
   0.9466535E-002   0.9116592E-004   0.9558603E-002   0.1064939E+003   0.9206747E-004   0.9297807E-004
   0.1660052E-001   0.2783493E-003   0.1688367E-001   0.5985682E+002   0.2831439E-003   0.2880218E-003
   0.1900799E-001   0.3617980E-003   0.1937682E-001   0.5168180E+002   0.3688280E-003   0.3759948E-003
   0.1422314E-001   0.2083623E-003   0.1443469E-001   0.7149047E+002   0.2115496E-003   0.2147869E-003
   0.1464776E-001   0.2214906E-003   0.1487275E-001   0.6968568E+002   0.2249909E-003   0.2285479E-003
   0.1431266E-001   0.2075042E-003   0.1452326E-001   0.6977556E+002   0.2105967E-003   0.2137360E-003
   0.1905830E-001   0.4187020E-003   0.1948829E-001   0.5719257E+002   0.4299941E-003   0.4416523E-003
   0.6337756E-001   0.5209958E-002   0.6914249E-001   0.2182418E+002   0.5764926E-002   0.6384972E-002
   0.1527385E+000   0.3021023E-001   0.1921238E+000   0.8297447E+001   0.3938531E-001   0.5162188E-001
   0.9236054E-001   0.9483700E-002   0.1030333E+000   0.1147360E+002   0.1067279E-001   0.1202086E-001
   0.9281285E-001   0.9351197E-002   0.1032974E+000   0.1088100E+002   0.1048456E-001   0.1176361E-001
   0.6149247E-001   0.4049160E-002   0.6585139E-001   0.1631060E+002   0.4358919E-002   0.4694330E-002
   0.4562705E-001   0.2148738E-002   0.4788549E-001   0.2165873E+002   0.2258441E-002   0.2373916E-002
   0.4088580E-001   0.1771573E-002   0.4274142E-001   0.2539860E+002   0.1855622E-002   0.1943795E-002
   0.7257163E-001   0.5453217E-002   0.7848471E-001   0.1329793E+002   0.5913078E-002   0.6413028E-002
   0.1278066E+000   0.1683338E-001   0.1472945E+000   0.7068902E+001   0.1948794E-001   0.2257708E-001
   0.1547755E+000   0.2620516E-001   0.1866874E+000   0.6603283E+001   0.3191193E-001   0.3890885E-001
   0.3969085E-001   0.3811522E-002   0.4413628E-001   0.5634321E+002   0.4445428E-002   0.5198636E-002
   0.2830323E-001   0.9293557E-003   0.2926755E-001   0.4261304E+002   0.9643207E-003   0.1000693E-002
   0.2992111E-001   0.1092400E-002   0.3106028E-001   0.4218060E+002   0.1139168E-002   0.1188063E-002
   0.1694402E-001   0.3089078E-003   0.1725909E-001   0.6251033E+002   0.3150731E-003   0.3213698E-003
   0.9205099E-002   0.8574680E-004   0.9291661E-002   0.1089256E+003   0.8656281E-004   0.8738668E-004
   0.9417084E-002   0.8948666E-004   0.9507437E-002   0.1061844E+003   0.9035280E-004   0.9122740E-004
   0.2034292E-001   0.5111048E-003   0.2087016E-001   0.5774286E+002   0.5272417E-003   0.5439688E-003
   0.2104846E+000   0.5128036E-001   0.2800784E+000   0.5295651E+001   0.6959378E-001   0.9476364E-001
   0.7465634E-001   0.7820872E-002   0.8362304E-001   0.2135032E+002   0.8966696E-002   0.1030442E-001
   0.4612365E-001   0.2520230E-002   0.4880537E-001   0.2646864E+002   0.2681722E-002   0.2854108E-002
   0.9166879E-001   0.8765145E-002   0.1014015E+000   0.1046484E+002   0.9732726E-002   0.1081109E-001
   0.3804069E-001   0.1457669E-002   0.3955688E-001   0.2548441E+002   0.1516197E-002   0.1577093E-002
   0.7699272E-001   0.6191835E-002   0.8375479E-001   0.1253599E+002   0.6762067E-002   0.7387443E-002
   0.2710612E-001   0.8341180E-003   0.2796976E-001   0.4134243E+002   0.8636402E-003   0.8942941E-003
   0.1819386E-001   0.3411057E-003   0.1854167E-001   0.5571036E+002   0.3478155E-003   0.3546609E-003
   0.2256576E-001   0.8390231E-003   0.2344741E-001   0.7358498E+002   0.8816495E-003   0.9266976E-003
   0.5175407E-001   0.2861649E-002   0.5479742E-001   0.1941966E+002   0.3043355E-002   0.3237557E-002
   0.5264372E-001   0.2795907E-002   0.5559811E-001   0.1815225E+002   0.2954385E-002   0.3121946E-002
   0.4306954E-001   0.1924705E-002   0.4508750E-001   0.2318495E+002   0.2017964E-002   0.2115879E-002
   0.1056085E-001   0.1166379E-003   0.1067886E-001   0.9761686E+002   0.1180038E-003   0.1193864E-003
   0.7004657E-002   0.4922127E-004   0.7054228E-002   0.1422149E+003   0.4957072E-004   0.4992265E-004
   0.5772007E-002   0.3336885E-004   0.5805570E-002   0.1725272E+003   0.3356319E-004   0.3375866E-004
   0.6324400E-002   0.4036014E-004   0.6365022E-002   0.1585214E+003   0.4062177E-004   0.4088511E-004
   0.1121681E-001   0.1293259E-003   0.1134768E-001   0.9070611E+002   0.1308751E-003   0.1324434E-003
   0.1786008E-001   0.3195404E-003   0.1818545E-001   0.5509272E+002   0.3253717E-003   0.3313095E-003
   0.1844830E-001   0.3415860E-003   0.1879635E-001   0.5341550E+002   0.3480531E-003   0.3546430E-003
   0.1025551E-001   0.1075523E-003   0.1036423E-001   0.9868837E+002   0.1087180E-003   0.1098966E-003
   0.7281927E-002   0.5314907E-004   0.7335468E-002   0.1366421E+003   0.5354076E-004   0.5393535E-004
   0.8496301E-002   0.7280451E-004   0.8569740E-002   0.1177131E+003   0.7343914E-004   0.7407934E-004
   0.8249845E-002   0.6826794E-004   0.8318684E-002   0.1205887E+003   0.6883932E-004   0.6941550E-004
   0.9604398E-002   0.9886866E-004   0.9704396E-002   0.1083363E+003   0.9999739E-004   0.1011405E-003
   0.7438976E-001   0.7719823E-002   0.8330922E-001   0.1756602E+002   0.8919456E-002   0.1034110E-001
   0.9174800E-001   0.1488800E-001   0.1107490E+000   0.1932097E+002   0.1900102E-001   0.2441237E-001
   0.3355664E-001   0.1143687E-002   0.3474139E-001   0.2924781E+002   0.1184751E-002   0.1227315E-002
