 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.5444485E+003   0.6128518E+003
   0.5629242E+003   0.6335834E+003
   0.5612883E+003   0.6362670E+003
   0.5578829E+003   0.6135188E+003
   0.5468557E+003   0.5820954E+003
   0.5355330E+003   0.5463805E+003
   0.5641524E+003   0.5691090E+003
   0.6407036E+003   0.6500149E+003
   0.6751159E+003   0.7115769E+003
   0.7820833E+003   0.8561988E+003
   0.8873649E+003   0.9855781E+003
   0.9546868E+003   0.1035492E+004
   0.9707476E+003   0.1047579E+004
   0.9614062E+003   0.1048290E+004
   0.9198812E+003   0.9982634E+003
   0.8756763E+003   0.9434470E+003
   0.8360352E+003   0.9026931E+003
   0.7986409E+003   0.8586988E+003
   0.7649513E+003   0.8135696E+003
   0.7251484E+003   0.7590866E+003
   0.6909765E+003   0.7170302E+003
   0.6499356E+003   0.6857019E+003
   0.5977772E+003   0.6522725E+003
   0.5753616E+003   0.6320974E+003
   0.5520222E+003   0.5749998E+003
   0.5245962E+003   0.5186163E+003
   0.5339213E+003   0.5258204E+003
   0.5684094E+003   0.5682758E+003
   0.6307751E+003   0.6235396E+003
   0.6709431E+003   0.6572174E+003
   0.6744300E+003   0.6608341E+003
   0.6415282E+003   0.6285011E+003
   0.5571303E+003   0.5540397E+003
   0.4860822E+003   0.5144887E+003
   0.4533671E+003   0.5222179E+003
   0.4443006E+003   0.5356205E+003
   0.4842885E+003   0.5708037E+003
   0.5358412E+003   0.6117082E+003
   0.5604120E+003   0.6354442E+003
   0.5665965E+003   0.6368888E+003
   0.5499389E+003   0.6212262E+003
   0.5383589E+003   0.6127107E+003
   0.5225822E+003   0.5941398E+003
   0.5182086E+003   0.5701022E+003
   0.5182625E+003   0.5577627E+003
   0.5080803E+003   0.5425893E+003
   0.5242994E+003   0.5576570E+003
   0.5848701E+003   0.6098474E+003
   0.6464170E+003   0.6873826E+003
   0.7237729E+003   0.7773209E+003
   0.7997434E+003   0.8819040E+003
   0.8630432E+003   0.9510310E+003
   0.8861724E+003   0.9771484E+003
   0.8786317E+003   0.9741064E+003
   0.8490981E+003   0.9210235E+003
   0.8047220E+003   0.8426888E+003
   0.7633617E+003   0.7955033E+003
   0.7222484E+003   0.7556552E+003
   0.6881909E+003   0.7178929E+003
   0.6498785E+003   0.6735614E+003
   0.6154701E+003   0.6360712E+003
   0.5876193E+003   0.6078251E+003
   0.5494044E+003   0.5989777E+003
   0.5555963E+003   0.6242383E+003
   0.5724265E+003   0.6207797E+003
   0.5707717E+003   0.5850796E+003
   0.5904405E+003   0.5875482E+003
   0.6086052E+003   0.6176335E+003
   0.6444799E+003   0.6320738E+003
   0.6614757E+003   0.6257258E+003
   0.6519496E+003   0.6245135E+003
   0.6269316E+003   0.5953220E+003
   0.5585694E+003   0.5388422E+003
   0.5016241E+003   0.5142501E+003
   0.4849260E+003   0.5336978E+003
   0.4910377E+003   0.5705026E+003
   0.5474216E+003   0.6351592E+003
   0.6035580E+003   0.6934895E+003
   0.6205934E+003   0.7090348E+003
   0.6010337E+003   0.6485158E+003
   0.5449040E+003   0.5789501E+003
   0.5150093E+003   0.5440403E+003
   0.4946364E+003   0.5319384E+003
   0.4998586E+003   0.5471431E+003
   0.5188145E+003   0.5664169E+003
   0.5218585E+003   0.5681098E+003
   0.5387591E+003   0.5856924E+003
   0.5833867E+003   0.6256641E+003
   0.6425779E+003   0.6757265E+003
   0.6964518E+003   0.7255095E+003
   0.7356608E+003   0.7673514E+003
   0.7747170E+003   0.8029174E+003
   0.7910966E+003   0.8191145E+003
   0.7799644E+003   0.8093788E+003
   0.7635127E+003   0.7780551E+003
   0.7353711E+003   0.7372969E+003
   0.7024563E+003   0.7099722E+003
   0.6652532E+003   0.6831343E+003
   0.6370279E+003   0.6613350E+003
   0.5999407E+003   0.6250608E+003
   0.5638112E+003   0.5913236E+003
   0.5428692E+003   0.5666176E+003
   0.5195498E+003   0.5652691E+003
   0.5379986E+003   0.6094394E+003
   0.5817842E+003   0.6475318E+003
   0.5951134E+003   0.6344702E+003
   0.6158267E+003   0.6280097E+003
   0.6214697E+003   0.6462145E+003
   0.6359719E+003   0.6327896E+003
   0.6521938E+003   0.6146156E+003
   0.6389475E+003   0.6142744E+003
   0.6243618E+003   0.6006715E+003
   0.5753520E+003   0.5614074E+003
   0.5248259E+003   0.5396012E+003
   0.5124795E+003   0.5476071E+003
   0.5309139E+003   0.5876677E+003
   0.5900586E+003   0.6562286E+003
   0.6432031E+003   0.7199585E+003
   0.6567708E+003   0.7416243E+003
   0.6148720E+003   0.6567894E+003
   0.5396247E+003   0.5657114E+003
   0.4999935E+003   0.5190765E+003
   0.4781996E+003   0.5092269E+003
   0.4919286E+003   0.5340225E+003
   0.5211508E+003   0.5596475E+003
   0.5340031E+003   0.5678093E+003
   0.5583360E+003   0.5937451E+003
   0.5958175E+003   0.6320646E+003
   0.6467535E+003   0.6785757E+003
   0.6676377E+003   0.6931404E+003
   0.6723788E+003   0.6891085E+003
   0.6825704E+003   0.6903606E+003
   0.6875452E+003   0.6909650E+003
   0.6718845E+003   0.6724731E+003
   0.6669939E+003   0.6657804E+003
   0.6604713E+003   0.6633762E+003
   0.6472420E+003   0.6567066E+003
   0.6303217E+003   0.6493073E+003
   0.6160572E+003   0.6444929E+003
   0.5865037E+003   0.6199986E+003
   0.5541485E+003   0.5913259E+003
   0.5321958E+003   0.5643012E+003
   0.5137155E+003   0.5452641E+003
   0.5292782E+003   0.5798487E+003
   0.5675558E+003   0.6286137E+003
   0.5732730E+003   0.6271349E+003
   0.5833449E+003   0.6130532E+003
   0.5737002E+003   0.6108358E+003
   0.5771080E+003   0.5857057E+003
   0.5975618E+003   0.5650221E+003
   0.5969255E+003   0.5837803E+003
   0.5869082E+003   0.5865329E+003
   0.5631693E+003   0.5666686E+003
   0.5305324E+003   0.5588774E+003
   0.5189960E+003   0.5533936E+003
   0.5452094E+003   0.5916929E+003
   0.5906423E+003   0.6499882E+003
   0.6270208E+003   0.6959196E+003
   0.6405348E+003   0.7199066E+003
   0.6043024E+003   0.6415732E+003
   0.5531110E+003   0.5795762E+003
   0.5214774E+003   0.5429342E+003
   0.5029110E+003   0.5329586E+003
   0.5144065E+003   0.5479009E+003
   0.5408665E+003   0.5627337E+003
   0.5643183E+003   0.5778989E+003
   0.5936813E+003   0.6142080E+003
   0.6243136E+003   0.6538201E+003
   0.6729019E+003   0.7092811E+003
   0.6565903E+003   0.6882613E+003
   0.6340608E+003   0.6537628E+003
   0.6245293E+003   0.6347278E+003
