#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
   0.3374356E+002   0.1411835E+002  -0.1681776E+002   0.1816027E+002  -0.1284918E+002  -0.1314453E+002   0.9344578E+002  -0.1447494E+003  -0.2116727E+002  -0.2728932E+000   0.1767388E+005
   0.3427929E+002   0.8455390E+001  -0.1495311E+002   0.3390998E+002  -0.7477750E+001  -0.1079584E+002   0.1396530E+003  -0.1917450E+003  -0.2684861E+002  -0.4706817E-001   0.3113567E+005
   0.3211631E+002   0.3368195E+001  -0.1044298E+002   0.4962977E+002  -0.2022910E+001  -0.4024019E+001   0.1737250E+003  -0.2242902E+003  -0.2994291E+002   0.1504901E+000   0.4273072E+005
   0.3126357E+002  -0.2303150E+000  -0.5525454E+001   0.7028106E+002  -0.2372031E+001   0.1360400E+001   0.1425114E+003  -0.1887653E+003  -0.2865569E+002   0.2358483E+000   0.3120060E+005
   0.2667192E+002   0.2805941E+001  -0.2116929E+001   0.6697802E+002  -0.2929798E+000   0.4761845E+001   0.2297432E+001  -0.5861386E+002  -0.2618591E+002   0.1930348E+000   0.5282104E+004
   0.2419374E+002   0.1240707E+002  -0.8636425E+000   0.4793251E+002   0.8377056E+001   0.5303002E+001  -0.2021198E+003   0.1287786E+003  -0.3236904E+002   0.2017601E+000   0.3311377E+005
   0.1625745E+002   0.2401410E+002  -0.4990015E+000   0.1017625E+002   0.2341003E+002   0.3963914E+001  -0.3844205E+003   0.3256875E+003  -0.3960082E+002   0.6666164E-001   0.1313816E+006
  -0.8801809E+000   0.3385748E+002  -0.3584812E+001  -0.1557347E+002   0.3858042E+002   0.8990767E+000  -0.3992221E+003   0.4387090E+003  -0.3984066E+002  -0.2140425E+001   0.1809965E+006
  -0.1947594E+002   0.3889771E+002  -0.7942616E+001  -0.1954992E+002   0.4310054E+002  -0.9487727E+000  -0.3285711E+003   0.4540734E+003  -0.2776182E+002  -0.4137225E+001   0.1624709E+006
  -0.3546753E+002   0.4170088E+002  -0.1135268E+002  -0.7779921E+001   0.3775492E+002  -0.7124411E+000  -0.2062441E+003   0.3502147E+003  -0.6425812E+001  -0.4138430E+001   0.8804436E+005
  -0.3360155E+002   0.3785519E+002  -0.1012269E+002   0.7320182E+001   0.2346485E+002   0.2401819E+001  -0.6356530E+002   0.1578826E+003   0.6799831E+001  -0.3336877E+001   0.1830310E+005
