# ~alp d~p/dx   Phi_p_sgs,x
   0.5625714E+000  -0.9479671E-002
   0.5759330E+000  -0.1162697E+000
   0.4329713E+000  -0.1252406E+000
   0.1007360E+001   0.1425578E+001
   0.1108077E+001   0.2655417E+001
  -0.8937947E+001  -0.2132228E+001
  -0.6868206E+001  -0.6427263E+001
  -0.7657780E+001  -0.6578593E+001
  -0.4426656E+001  -0.4954478E+001
   0.1676164E+000  -0.1470831E+001
  -0.4749778E-001  -0.3023920E+001
  -0.6806900E+001  -0.7039319E+001
  -0.1907819E+002  -0.9901161E+001
  -0.3443229E+002  -0.1021434E+002
  -0.2465568E+002  -0.1405123E+002
  -0.3011517E+001  -0.1186495E+002
   0.1673887E+002   0.1077572E+002
   0.2184514E+002   0.2261915E+002
   0.1244470E+002   0.2383374E+002
  -0.9255812E+000   0.1155541E+002
  -0.1374365E+002  -0.7433405E+001
  -0.1255503E+002  -0.1224744E+002
  -0.5912949E+001  -0.1576751E+002
  -0.1228679E+000  -0.9129235E+001
   0.5044649E-001  -0.2407933E+000
  -0.1107142E+000  -0.6813725E-001
  -0.1389463E+000  -0.1069846E+000
   0.9334520E+000   0.2002082E+001
   0.7487349E+001   0.7154537E+001
   0.1514694E+002   0.6847969E+001
   0.1420549E+002   0.8223514E+001
   0.5597742E+001   0.6159588E+001
   0.8092509E+000   0.1545391E+001
  -0.1092117E+001  -0.6552042E+000
  -0.2730293E+001  -0.2240994E+001
  -0.4994294E+001  -0.2686545E+001
  -0.4720080E+001  -0.2451977E+001
  -0.2469388E+001  -0.1868318E+001
   0.5483253E-001  -0.8076885E+000
   0.9506917E+000  -0.2296652E+000
   0.1023711E+001  -0.4113945E-001
   0.1164519E+001  -0.6243079E-001
   0.1099665E+001  -0.8991577E-001
   0.1998670E+001   0.1944624E+000
   0.9287653E+000   0.8346485E+000
  -0.2926741E+001  -0.2222524E+001
  -0.2632304E+001  -0.2916012E+001
  -0.3044992E+001  -0.2747792E+001
  -0.1385784E+000  -0.3527590E+001
   0.3052832E+001  -0.2595767E+001
   0.3166406E+001  -0.5072019E+001
  -0.3357656E+001  -0.1007349E+002
  -0.1321763E+002  -0.1321590E+002
  -0.2398581E+002  -0.1523484E+002
  -0.1612388E+002  -0.1636670E+002
